"","Ecoregion","ai","pi"
"1","Baja California desert",77040.14257344,47010.3986381585
"2","Sierra Madre Occidental pine-oak forests",215023.354335065,28136.9374596016
"3","Chihuahuan desert",303263.631201707,25509.3674821706
"4","Sierra Madre Oriental pine-oak forests",61491.8822080587,20226.8957745129
"5","Trans-Mexican Volcanic Belt pine-oak forests",92025.5454026887,16423.3215617261
"6","Yucatán moist forests",69133.6107469741,16231.0279420849
"7","Sonoran desert",105872.832776367,14330.5014879816
"8","Gulf of California xeric scrub",23027.6691287732,11246.6468772525
"9","Mesoamerican Gulf-Caribbean mangroves",15357.1807242054,9771.12738284823
"10","Petén-Veracruz moist forests",83883.7206763316,9511.74849612962
"11","Sinaloan dry forests",77281.882823963,8553.08355415337
"12","Tamaulipan mezquital",71600.7381464641,6872.43243961477
"13","Balsas dry forests",62246.5984624407,6785.97905288825
"14","Meseta Central matorral",124975.109825605,6685.42094965658
"15","Veracruz moist forests",68670.1950998891,5228.83653831054
"16","Pantanos de Centla",17034.397299418,4840.44340036553
"17","Yucatán dry forests",49566.8490729334,4746.12687483316
"18","Northern Mesoamerican Pacific mangroves",6623.06611670285,3636.97227477838
"19","Central Mexican matorral",59194.7491934732,3190.35414823406
"20","Bajío dry forests",37383.7210298564,2811.77962749906
"21","Western Gulf coastal grasslands",15166.4203485601,2770.02130072526
"22","Central American pine-oak forests",15925.3656925989,2563.45971351618
"23","Sonoran-Sinaloan subtropical dry forest",50557.1154553574,2549.42322561683
"24","Jalisco dry forests",25319.7443835095,2280.32753118099
"25","Sierra Madre de Chiapas moist forests",5405.57711111882,1811.81746704669
"26","Sierra Madre del Sur pine-oak forests",60973.4879612219,1751.13063612932
"27","Southern Pacific dry forests",41566.8100354284,1726.5868756996
"28","Tehuacán Valley matorral",9861.77513295832,1612.73725386337
"29","Sierra de los Tuxtlas",3846.34247768345,1511.76904528025
"30","Tamaulipan matorral",16236.7532225192,998.54257502053
"31","Sierra de la Laguna pine-oak forests",1061.07359363757,921.968240406154
"32","Sierra Madre de Oaxaca pine-oak forests",14298.3100317358,919.53788731107
"33","Sierra de la Laguna dry forests",3954.75376651705,906.512025360959
"34","Southern Mesoamerican Pacific mangroves",1405.92662229933,885.522131965628
"35","California montane chaparral and woodlands",3997.45022871477,676.79330381144
"36","San Lucan xeric scrub",3626.48199328071,623.878816213429
"37","California coastal sage and chaparral",11740.7257176985,538.273720731834
"38","Central American dry forests",3228.08780213279,462.874112870076
"39","Chiapas Depression dry forests",13082.5258076768,358.103186496757
"40","Veracruz dry forests",6604.52963363232,313.17040340609
"41","Veracruz montane forests",4942.47204156361,303.606085238793
"42","Chimalapas montane forests",2076.65998235109,283.58719768691
"43","Chiapas montane forests",5559.908408128,247.263317411449
"44","Oaxacan montane forests",7576.91788853278,150.872199499273
"45","Islas Revillagigedo dry forests",137.617058842241,137.617058842241
