"","Ecoregion","ai","pi"
"1","Baja California desert",77040.14257344,46710.8735110478
"2","Sierra Madre Occidental pine-oak forests",215023.354335065,26763.8775699113
"3","Chihuahuan desert",303263.631201707,24816.5340481569
"4","Sierra Madre Oriental pine-oak forests",61491.8822080587,18858.8580277899
"5","Trans-Mexican Volcanic Belt pine-oak forests",92025.5454026887,15839.992456828
"6","Yucatán moist forests",69133.6107469741,15486.3143315774
"7","Sonoran desert",105872.832776367,14140.1824971536
"8","Gulf of California xeric scrub",23027.6691287732,11200.5613505988
"9","Mesoamerican Gulf-Caribbean mangroves",15357.1807242054,9509.2190567734
"10","Petén-Veracruz moist forests",83883.7206763316,9488.54115996219
"11","Sinaloan dry forests",77281.882823963,8531.96695244397
"12","Tamaulipan mezquital",71600.7381464641,6872.43243961477
"13","Balsas dry forests",62246.5984624407,6771.97801922092
"14","Meseta Central matorral",124975.109825605,6287.75401113848
"15","Pantanos de Centla",17034.397299418,4804.61159744206
"16","Veracruz moist forests",68670.1950998891,3428.84846497282
"17","Northern Mesoamerican Pacific mangroves",6623.06611670285,3390.44315197289
"18","Central Mexican matorral",59194.7491934732,3187.24790357922
"19","Western Gulf coastal grasslands",15166.4203485601,2770.02130072526
"20","Bajío dry forests",37383.7210298564,2729.1318885223
"21","Yucatán dry forests",49566.8490729334,2608.94287110572
"22","Central American pine-oak forests",15925.3656925989,2562.960331574
"23","Sonoran-Sinaloan subtropical dry forest",50557.1154553574,2468.49615382127
"24","Jalisco dry forests",25319.7443835095,2278.37059849672
"25","Sierra Madre de Chiapas moist forests",5405.57711111882,1807.58012351481
"26","Sierra Madre del Sur pine-oak forests",60973.4879612219,1724.66319157146
"27","Southern Pacific dry forests",41566.8100354284,1682.35950971134
"28","Tehuacán Valley matorral",9861.77513295832,1612.73725386337
"29","Sierra de los Tuxtlas",3846.34247768345,1511.76904528025
"30","Tamaulipan matorral",16236.7532225192,998.542510842437
"31","Sierra de la Laguna pine-oak forests",1061.07359363757,921.968240406154
"32","Sierra de la Laguna dry forests",3954.75376651705,906.512025360959
"33","Sierra Madre de Oaxaca pine-oak forests",14298.3100317358,887.913518802173
"34","Southern Mesoamerican Pacific mangroves",1405.92662229933,885.522131965629
"35","California montane chaparral and woodlands",3997.45022871477,676.79330381144
"36","San Lucan xeric scrub",3626.48199328071,623.878816213429
"37","Central American dry forests",3228.08780213279,462.370266814645
"38","Chiapas Depression dry forests",13082.5258076768,357.155204633485
"39","Veracruz dry forests",6604.52963363232,313.17040340609
"40","Veracruz montane forests",4942.47204156361,303.606085238793
"41","Chimalapas montane forests",2076.65998235109,283.58719768691
"42","Chiapas montane forests",5559.908408128,247.263317411449
"43","California coastal sage and chaparral",11740.7257176985,209.099849456084
"44","Oaxacan montane forests",7576.91788853278,150.872199499273
"45","Islas Revillagigedo dry forests",137.617058842241,137.617058842241
