"","Ecoregion","ai","pi"
"1","Baja California desert",77040.14257344,46710.8735110478
"2","Sierra Madre Occidental pine-oak forests",215023.354335065,26706.537634734
"3","Chihuahuan desert",303263.631201707,24780.676934486
"4","Sierra Madre Oriental pine-oak forests",61491.8822080587,18740.4687052983
"5","Yucatán moist forests",69133.6107469741,15475.5795761597
"6","Trans-Mexican Volcanic Belt pine-oak forests",92025.5454026887,15232.2774488611
"7","Sonoran desert",105872.832776367,14140.1824971536
"8","Gulf of California xeric scrub",23027.6691287732,11200.5613505988
"9","Mesoamerican Gulf-Caribbean mangroves",15357.1807242054,9509.21905677341
"10","Petén-Veracruz moist forests",83883.7206763316,9484.65655907376
"11","Sinaloan dry forests",77281.882823963,8531.96695244397
"12","Tamaulipan mezquital",71600.7381464641,6872.43243961477
"13","Balsas dry forests",62246.5984624407,6736.81002587463
"14","Meseta Central matorral",124975.109825605,6050.79501951324
"15","Pantanos de Centla",17034.397299418,4804.61159744206
"16","Veracruz moist forests",68670.1950998891,3428.84846497282
"17","Northern Mesoamerican Pacific mangroves",6623.06611670285,3390.44315197289
"18","Central Mexican matorral",59194.7491934732,3186.49158911183
"19","Western Gulf coastal grasslands",15166.4203485601,2770.02130072526
"20","Yucatán dry forests",49566.8490729334,2608.94287110571
"21","Central American pine-oak forests",15925.3656925989,2562.94708005166
"22","Sonoran-Sinaloan subtropical dry forest",50557.1154553574,2468.49615382127
"23","Bajío dry forests",37383.7210298564,2292.84439483762
"24","Jalisco dry forests",25319.7443835095,2275.36318836233
"25","Sierra Madre de Chiapas moist forests",5405.57711111882,1807.58012351481
"26","Southern Pacific dry forests",41566.8100354284,1653.81453442697
"27","Sierra Madre del Sur pine-oak forests",60973.4879612219,1636.93672696054
"28","Tehuacán Valley matorral",9861.77513295832,1612.73725386337
"29","Sierra de los Tuxtlas",3846.34247768345,1511.76904528025
"30","Tamaulipan matorral",16236.7532225192,998.542510842437
"31","Sierra de la Laguna pine-oak forests",1061.07359363757,921.968240406154
"32","Sierra de la Laguna dry forests",3954.75376651705,906.512025360959
"33","Southern Mesoamerican Pacific mangroves",1405.92662229933,885.522131965629
"34","Sierra Madre de Oaxaca pine-oak forests",14298.3100317358,878.325415906288
"35","California montane chaparral and woodlands",3997.45022871477,676.79330381144
"36","San Lucan xeric scrub",3626.48199328071,621.675224349632
"37","Central American dry forests",3228.08780213279,462.370266814645
"38","Chiapas Depression dry forests",13082.5258076768,357.155204633485
"39","Veracruz dry forests",6604.52963363232,313.020798954042
"40","Veracruz montane forests",4942.47204156361,303.606085238793
"41","Chimalapas montane forests",2076.65998235109,283.58719768691
"42","Chiapas montane forests",5559.908408128,247.263317411449
"43","California coastal sage and chaparral",11740.7257176985,209.099849456084
"44","Oaxacan montane forests",7576.91788853278,150.872199499273
"45","Islas Revillagigedo dry forests",137.617058842241,137.617058842241
