"","Ecoregion","ai","pi"
"1","Magellanic subpolar forests",123685.464964958,68639.3621438652
"2","Valdivian temperate forests",200388.549990517,42461.5700482332
"3","Rock and Ice",16059.2880051616,15698.5030413339
"4","Central Andean dry puna",82685.6275959625,9572.86069597519
"5","Patagonian steppe",28574.8776089545,4154.70679113788
"6","Chilean Matorral",148052.595429332,1864.27947152252
"7","Atacama desert",104870.73366648,1693.34145482777
"8","Southern Andean steppe",30225.5285427264,1196.65562996018
"9","Rapa Nui and Sala y Gómez subtropical forests",162.025581018259,50.9907383367408
"11","Juan Fernández Islands temperate forests",44.6080537492921,34.7070830413367
"13","San Félix-San Ambrosio Islands temperate forests",0.210312742892936,0
