"","Ecoregion","ai","pi"
"1","Magellanic subpolar forests",123685.464964958,46395.1595318861
"2","Valdivian temperate forests",200388.549990517,42461.5700482331
"3","Rock and Ice",16059.2880051616,15366.1073246913
"4","Central Andean dry puna",82685.6275959625,9564.19306095164
"5","Patagonian steppe",28574.8776089545,3651.86952733422
"6","Chilean Matorral",148052.595429332,1864.27947152252
"7","Atacama desert",104870.73366648,1693.23517900767
"8","Southern Andean steppe",30225.5285427264,1196.65562996018
"9","Rapa Nui and Sala y Gómez subtropical forests",162.025581018259,50.9907383367408
"11","Juan Fernández Islands temperate forests",44.6080537492921,34.7070830413367
"13","San Félix-San Ambrosio Islands temperate forests",0.210312742892936,0
