"","Ecoregion","ai","pi"
"1","Amazonia",291604.62102208,23333.5997350836
"2","Southeastern Brazil",155534.061474955,13302.2672048144
"3","Northeastern Brazil",82770.0807041587,10153.5645459353
"4","Eastern Brazil",110520.34959009,8859.63748865063
"5","Equatorial Atlantic",1386527.61850339,1476.97555991861
"6","Fernando de Naronha and Atoll das Rocas",428.080069508657,427.537194265777
"7","Rio Grande",114533.310562415,346.267303760169
"8","South Central Atlantic Gyre",1513354.43594781,134.63146601218
"9","Sao Pedro and Sao Paulo Islands",77.7861318492763,66.2563701338797
"11","Trindade and Martin Vaz Islands",561.602531298833,0
