"","Ecoregion","ai","pi"
"1","Indonesian Through-Flow",2446069.49757108,38074.096667946
"2","Sunda Shelf/Java Sea",924442.919100594,30976.9500380062
"3","Papua",112584.405954779,25579.1993557351
"4","Banda Sea",115959.346555662,14201.6305559742
"5","Lesser Sunda",52868.0387160894,13926.3341465665
"6","Equatorial Pacific",527717.260932698,7801.98349805067
"7","Western Sumatra",102571.592699078,6396.77496487625
"8","Arafura Sea",325567.806252657,4224.18532379639
"9","Sulawesi Sea/Makassar Strait",195502.802627451,4078.19994022092
"10","Northeast Sulawesi",15726.9593155575,3118.21313935552
"11","Southern Java",64767.4478042563,3078.262052288
"12","Malacca Strait",74465.5107074683,2717.41384190914
"13","Indian Ocean Monsoon Gyre",941678.654793551,36.7624959256334
"14","Halmahera",32773.6591324634,25.041953972447
"15","Palawan/North Borneo",24775.1078401618,4.06273701113762
"16","Bonaparte Coast",18540.433281495,0
"17","Exmouth to Broome",8792.23042201906,0
