"","Ecoregion","ai","pi"
"1","Indonesian Through-Flow",2446069.49757108,37176.1941985825
"2","Papua",112584.405954779,25579.1993557351
"3","Sunda Shelf/Java Sea",924442.919100594,15069.2772781433
"4","Lesser Sunda",52868.0387160894,10859.5442923769
"5","Banda Sea",115959.346555662,9549.22056132052
"6","Equatorial Pacific",527717.260932698,7801.98349805067
"7","Western Sumatra",102571.592699078,6331.06700807646
"8","Arafura Sea",325567.806252657,4224.18532379639
"9","Sulawesi Sea/Makassar Strait",195502.802627451,3648.93182722104
"10","Southern Java",64767.4478042563,2877.42400112506
"11","Malacca Strait",74465.5107074683,2706.75952818518
"12","Northeast Sulawesi",15726.9593155575,2646.01237375474
"13","Indian Ocean Monsoon Gyre",941678.654793551,36.7624959256334
"14","Palawan/North Borneo",24775.1078401618,4.06273701113762
"15","Halmahera",32773.6591324634,0
"16","Bonaparte Coast",18540.433281495,0
"17","Exmouth to Broome",8792.23042201906,0
